path,label
1f_1018_shift.pt,0
1f_1018_speed.pt,0
1f_1018_volume.pt,0
1f_1026_shift.pt,0
1f_1026_speed.pt,0
1f_1026_volume.pt,0
1f_1031_shift.pt,0
1f_1031_speed.pt,0
1f_1031_volume.pt,0
1f_1070_shift.pt,0
1f_1070_speed.pt,0
1f_1070_volume.pt,0
1f_1075_shift.pt,0
1f_1075_speed.pt,0
1f_1075_volume.pt,0
1f_1079_shift.pt,0
1f_1079_speed.pt,0
1f_1079_volume.pt,0
1f_1082_shift.pt,0
1f_1082_speed.pt,0
1f_1082_volume.pt,0
1f_1087_shift.pt,0
1f_1087_speed.pt,0
1f_1087_volume.pt,0
1f_1129_shift.pt,0
1f_1129_speed.pt,0
1f_1129_volume.pt,0
1f_1137_shift.pt,0
1f_1137_speed.pt,0
1f_1137_volume.pt,0
1f_1155_shift.pt,0
1f_1155_speed.pt,0
1f_1155_volume.pt,0
1f_1161_shift.pt,0
1f_1161_speed.pt,0
1f_1161_volume.pt,0
1f_1165_shift.pt,0
1f_1165_speed.pt,0
1f_1165_volume.pt,0
1f_1201_shift.pt,0
1f_1201_speed.pt,0
1f_1201_volume.pt,0
1f_1206_shift.pt,0
1f_1206_speed.pt,0
1f_1206_volume.pt,0
1f_1207_shift.pt,0
1f_1207_speed.pt,0
1f_1207_volume.pt,0
1f_1255_shift.pt,0
1f_1255_speed.pt,0
1f_1255_volume.pt,0
1f_1279_shift.pt,0
1f_1279_speed.pt,0
1f_1279_volume.pt,0
1f_1327_shift.pt,0
1f_1327_speed.pt,0
1f_1327_volume.pt,0
1f_1341_shift.pt,0
1f_1341_speed.pt,0
1f_1341_volume.pt,0
1f_1354_shift.pt,0
1f_1354_speed.pt,0
1f_1354_volume.pt,0
1f_1355_shift.pt,0
1f_1355_speed.pt,0
1f_1355_volume.pt,0
1f_1365_shift.pt,0
1f_1365_speed.pt,0
1f_1365_volume.pt,0
1f_1377_shift.pt,0
1f_1377_speed.pt,0
1f_1377_volume.pt,0
1f_1431_shift.pt,0
1f_1431_speed.pt,0
1f_1431_volume.pt,0
1f_1437_shift.pt,0
1f_1437_speed.pt,0
1f_1437_volume.pt,0
1f_1444_shift.pt,0
1f_1444_speed.pt,0
1f_1444_volume.pt,0
1f_1463_shift.pt,0
1f_1463_speed.pt,0
1f_1463_volume.pt,0
1f_1475_shift.pt,0
1f_1475_speed.pt,0
1f_1475_volume.pt,0
1f_1476_shift.pt,0
1f_1476_speed.pt,0
1f_1476_volume.pt,0
1f_1506_shift.pt,0
1f_1506_speed.pt,0
1f_1506_volume.pt,0
1f_1530_shift.pt,0
1f_1530_speed.pt,0
1f_1530_volume.pt,0
1f_1545_shift.pt,0
1f_1545_speed.pt,0
1f_1545_volume.pt,0
1f_1605_shift.pt,0
1f_1605_speed.pt,0
1f_1605_volume.pt,0
1f_1614_shift.pt,0
1f_1614_speed.pt,0
1f_1614_volume.pt,0
1f_1615_shift.pt,0
1f_1615_speed.pt,0
1f_1615_volume.pt,0
1f_1648_shift.pt,0
1f_1648_speed.pt,0
1f_1648_volume.pt,0
1f_1658_shift.pt,0
1f_1658_speed.pt,0
1f_1658_volume.pt,0
1f_1690_shift.pt,0
